Rainfall-(MM),Year,Statistics,Country,ISO3
201.689,1998,JanAverage,Brazil,BRA
190.628,1998,FebAverage,Brazil,BRA
216.157,1998,MarAverage,Brazil,BRA
173.809,1998,AprAverage,Brazil,BRA
124.977,1998,MayAverage,Brazil,BRA
91.2009,1998,JunAverage,Brazil,BRA
62.9909,1998,JulAverage,Brazil,BRA
68.0757,1998,AugAverage,Brazil,BRA
78.5111,1998,SepAverage,Brazil,BRA
129.348,1998,OctAverage,Brazil,BRA
189.028,1998,NovAverage,Brazil,BRA
207.05,1998,DecAverage,Brazil,BRA
248.63,1999,JanAverage,Brazil,BRA
207.895,1999,FebAverage,Brazil,BRA
225.684,1999,MarAverage,Brazil,BRA
177.341,1999,AprAverage,Brazil,BRA
144.712,1999,MayAverage,Brazil,BRA
85.497,1999,JunAverage,Brazil,BRA
62.2152,1999,JulAverage,Brazil,BRA
45.0151,1999,AugAverage,Brazil,BRA
83.9075,1999,SepAverage,Brazil,BRA
112.97,1999,OctAverage,Brazil,BRA
175.691,1999,NovAverage,Brazil,BRA
215.799,1999,DecAverage,Brazil,BRA
248.424,2000,JanAverage,Brazil,BRA
258.849,2000,FebAverage,Brazil,BRA
259.426,2000,MarAverage,Brazil,BRA
203.939,2000,AprAverage,Brazil,BRA
131.116,2000,MayAverage,Brazil,BRA
80.6119,2000,JunAverage,Brazil,BRA
74.0347,2000,JulAverage,Brazil,BRA
70.1761,2000,AugAverage,Brazil,BRA
106.965,2000,SepAverage,Brazil,BRA
105.685,2000,OctAverage,Brazil,BRA
181.202,2000,NovAverage,Brazil,BRA
217.27,2000,DecAverage,Brazil,BRA
207.776,2001,JanAverage,Brazil,BRA
201.831,2001,FebAverage,Brazil,BRA
231.186,2001,MarAverage,Brazil,BRA
163.64,2001,AprAverage,Brazil,BRA
135.335,2001,MayAverage,Brazil,BRA
92.294,2001,JunAverage,Brazil,BRA
69.9056,2001,JulAverage,Brazil,BRA
48.4775,2001,AugAverage,Brazil,BRA
83.6756,2001,SepAverage,Brazil,BRA
132.902,2001,OctAverage,Brazil,BRA
177.945,2001,NovAverage,Brazil,BRA
232.173,2001,DecAverage,Brazil,BRA
274.321,2002,JanAverage,Brazil,BRA
215.577,2002,FebAverage,Brazil,BRA
215.577,2002,MarAverage,Brazil,BRA
191.741,2002,AprAverage,Brazil,BRA
152.821,2002,MayAverage,Brazil,BRA
81.0081,2002,JunAverage,Brazil,BRA
63.698,2002,JulAverage,Brazil,BRA
56.1344,2002,AugAverage,Brazil,BRA
75.3035,2002,SepAverage,Brazil,BRA
115.758,2002,OctAverage,Brazil,BRA
141.532,2002,NovAverage,Brazil,BRA
