Temperature,Year,Statistics,Country,ISO3
26.7041,1998,JanAverage,Brazil,BRA
26.8333,1998,FebAverage,Brazil,BRA
26.357,1998,MarAverage,Brazil,BRA
26.3255,1998,AprAverage,Brazil,BRA
24.8441,1998,MayAverage,Brazil,BRA
23.9281,1998,JunAverage,Brazil,BRA
24.5773,1998,JulAverage,Brazil,BRA
25.4446,1998,AugAverage,Brazil,BRA
25.7331,1998,SepAverage,Brazil,BRA
26.4043,1998,OctAverage,Brazil,BRA
26.031,1998,NovAverage,Brazil,BRA
26.1804,1998,DecAverage,Brazil,BRA
26.0825,1999,JanAverage,Brazil,BRA
26.0898,1999,FebAverage,Brazil,BRA
25.9152,1999,MarAverage,Brazil,BRA
25.1308,1999,AprAverage,Brazil,BRA
24.0045,1999,MayAverage,Brazil,BRA
23.7472,1999,JunAverage,Brazil,BRA
23.801,1999,JulAverage,Brazil,BRA
24.3559,1999,AugAverage,Brazil,BRA
25.7298,1999,SepAverage,Brazil,BRA
25.9712,1999,OctAverage,Brazil,BRA
25.8139,1999,NovAverage,Brazil,BRA
26.0335,1999,DecAverage,Brazil,BRA
25.8922,2000,JanAverage,Brazil,BRA
25.7304,2000,FebAverage,Brazil,BRA
25.5237,2000,MarAverage,Brazil,BRA
25.298,2000,AprAverage,Brazil,BRA
24.6587,2000,MayAverage,Brazil,BRA
24.0279,2000,JunAverage,Brazil,BRA
22.8954,2000,JulAverage,Brazil,BRA
24.8073,2000,AugAverage,Brazil,BRA
25.1792,2000,SepAverage,Brazil,BRA
26.5293,2000,OctAverage,Brazil,BRA
25.8763,2000,NovAverage,Brazil,BRA
25.8833,2000,DecAverage,Brazil,BRA
25.889,2001,JanAverage,Brazil,BRA
26.1098,2001,FebAverage,Brazil,BRA
25.9956,2001,MarAverage,Brazil,BRA
25.844,2001,AprAverage,Brazil,BRA
24.7001,2001,MayAverage,Brazil,BRA
23.2559,2001,JunAverage,Brazil,BRA
24.2577,2001,JulAverage,Brazil,BRA
25.1645,2001,AugAverage,Brazil,BRA
25.7005,2001,SepAverage,Brazil,BRA
26.2674,2001,OctAverage,Brazil,BRA
26.3615,2001,NovAverage,Brazil,BRA
26.071,2001,DecAverage,Brazil,BRA
26.0038,2002,JanAverage,Brazil,BRA
26.0543,2002,FebAverage,Brazil,BRA
26.3506,2002,MarAverage,Brazil,BRA
26.0302,2002,AprAverage,Brazil,BRA
25.2653,2002,MayAverage,Brazil,BRA
24.0697,2002,JunAverage,Brazil,BRA
24.3129,2002,JulAverage,Brazil,BRA
25.3006,2002,AugAverage,Brazil,BRA
